,Deputado,Partido,UF,Voto,Campo ideológico,Posição
0,Alan Rick,DEM,AC,Sim,Conservador,Centro direita
1,Arthur O. Maia,DEM,BA,Não,Conservador,Centro direita
2,Elmar Nascimento,DEM,BA,Sim,Conservador,Centro direita
3,Igor Kannário,DEM,BA,Sim,Conservador,Centro direita
4,Leur Lomanto Jr,DEM,BA,Não,Conservador,Centro direita
5,Paulo Azi,DEM,BA,Sim,Conservador,Centro direita
6,Aníbal Gomes,DEM,CE,Sim,Conservador,Centro direita
7,Luis Miranda,DEM,DF,Sim,Conservador,Centro direita
8,Norma Ayub,DEM,ES,Sim,Conservador,Centro direita
9,Dr Zacharias Calil,DEM,GO,Sim,Conservador,Centro direita
10,José Mario Schrein,DEM,GO,Sim,Conservador,Centro direita
11,Juscelino Filho,DEM,MA,Sim,Conservador,Centro direita
12,Bilac Pinto,DEM,MG,Sim,Conservador,Centro direita
13,Hélio Leite,DEM,PA,Sim,Conservador,Centro direita
14,Olival Marques,DEM,PA,Sim,Conservador,Centro direita
15,Efraim Filho,DEM,PB,Sim,Conservador,Centro direita
16,Fernando Coelho,DEM,PE,Sim,Conservador,Centro direita
17,Pedro Lupion,DEM,PR,Sim,Conservador,Centro direita
18,Juninho do Pneu,DEM,RJ,INDENIFIDO,Conservador,Centro direita
19,Marcos Soares,DEM,RJ,Sim,Conservador,Centro direita
20,Rodrigo Maia,DEM,RJ,Sim,Conservador,Centro direita
21,Sóstenes Cavalcante,DEM,RJ,Sim,Conservador,Centro direita
22,Alexandre Leite,DEM,SP,Sim,Conservador,Centro direita
23,David Soares,DEM,SP,Sim,Conservador,Centro direita
24,Eli Corrêa Filho,DEM,SP,Sim,Conservador,Centro direita
25,Geninho Zuliani,DEM,SP,Sim,Conservador,Centro direita
26,Kim Kataguiri,DEM,SP,Não,Conservador,Centro direita
27,Carlos Gaguim,DEM,TO,Sim,Conservador,Centro direita
28,Prof Dorinha,DEM,TO,Sim,Conservador,Centro direita
29,Dra.Vanda Milani,SD,AC,Sim,Trabalhista,Centro esquerda
30,Bosco Saraiva,SD,AM,Sim,Trabalhista,Centro esquerda
31,Genecias Noronha,SD,CE,Sim,Trabalhista,Centro esquerda
32,Lucas Vergilio,SD,GO,INDENIFIDO,Trabalhista,Centro esquerda
33,Zé Vitor,SD,MG,Sim,Trabalhista,Centro esquerda
34,Dr. Leonardo,SD,MT,Sim,Trabalhista,Centro esquerda
35,Augusto Coutinho,SD,PE,Sim,Trabalhista,Centro esquerda
36,Marina Santos,SD,PI,Sim,Trabalhista,Centro esquerda
37,Aureo Ribeiro,SD,RJ,Sim,Trabalhista,Centro esquerda
38,Ottaci Nascimento,SD,RR,Sim,Trabalhista,Centro esquerda
39,Gustinho Ribeiro,SD,SE,INDENIFIDO,Trabalhista,Centro esquerda
40,Paulo Pereira,SD,SP,Sim,Trabalhista,Centro esquerda
41,Eli Borges,SD,TO,Sim,Trabalhista,Centro esquerda
42,Tiago Dimas,SD,TO,Sim,Trabalhista,Centro esquerda
43,Flaviano Melo,MDB,AC,Sim,Conservador,Centro direita
44,Jessica Sales,MDB,AC,Sim,Conservador,Centro direita
45,Isnaldo Bulhões Jr,MDB,AL,Sim,Conservador,Centro direita
46,Moses Rodrigues,MDB,CE,Não,Conservador,Centro direita
47,Hildo Rocha,MDB,MA,Sim,Conservador,Centro direita
48,João Marcelo S.,MDB,MA,INDENIFIDO,Conservador,Centro direita
49,Fábio Ramalho,MDB,MG,Não,Conservador,Centro direita
50,Hercílio Diniz,MDB,MG,Sim,Conservador,Centro direita
51,Mauro Lopes,MDB,MG,Sim,Conservador,Centro direita
52,Newton Cardoso Jr,MDB,MG,Sim,Conservador,Centro direita
53,Juarez Costa,MDB,MT,Sim,Conservador,Centro direita
54,Valtenir Pereira,MDB,MT,Sim,Conservador,Centro direita
55,Elcione Barbalho,MDB,PA,Sim,Conservador,Centro direita
56,José Priante,MDB,PA,INDENIFIDO,Conservador,Centro direita
57,Raul Henry,MDB,PE,Sim,Conservador,Centro direita
58,Marcos A. Sampaio,MDB,PI,Sim,Conservador,Centro direita
59,Hermes Parcianello,MDB,PR,Sim,Conservador,Centro direita
60,Sérgio Souza,MDB,PR,Sim,Conservador,Centro direita
61,Daniela Waguinho,MDB,RJ,Sim,Conservador,Centro direita
62,Gutemberg Reis,MDB,RJ,Sim,Conservador,Centro direita
63,Walter Alves,MDB,RN,Sim,Conservador,Centro direita
64,Lucio Mosquini,MDB,RO,Sim,Conservador,Centro direita
65,Alceu Moreira,MDB,RS,Sim,Conservador,Centro direita
66,Giovani Feltes,MDB,RS,Sim,Conservador,Centro direita
67,Márcio Biolchi,MDB,RS,Sim,Conservador,Centro direita
68,Osmar Terra,MDB,RS,Sim,Conservador,Centro direita
69,Carlos Chiodini,MDB,SC,Sim,Conservador,Centro direita
70,Celso Maldaner,MDB,SC,Sim,Conservador,Centro direita
71,Rogério Peninha,MDB,SC,INDENIFIDO,Conservador,Centro direita
72,Fabio Reis,MDB,SE,Sim,Conservador,Centro direita
73,Baleira Rossi,MDB,SP,Sim,Conservador,Centro direita
74,Herculano Passos,MDB,SP,Sim,Conservador,Centro direita
75,Dulce Miranda,MDB,TO,INDENIFIDO,Conservador,Centro direita
76,Jesus Sérgio,PDT,AC,Sim,Trabalhista,Centro esquerda
77,Alex Santana,PDT,BA,Sim,Trabalhista,Centro esquerda
78,Félix Mendonça Jr,PDT,BA,Sim,Trabalhista,Centro esquerda
79,André Figueiredo,PDT,CE,Sim,Trabalhista,Centro esquerda
80,Eduardo Bismarck,PDT,CE,Sim,Trabalhista,Centro esquerda
81,Idilvan Alencar,PDT,CE,Não,Trabalhista,Centro esquerda
82,Leônidas Cristino,PDT,CE,Sim,Trabalhista,Centro esquerda
83,Totonho Lopes,PDT,CE,Sim,Trabalhista,Centro esquerda
84,Flávia Morais,PDT,GO,Sim,Trabalhista,Centro esquerda
